Grade,Dno,Dname,Sno,Sname,Stcount,Passpc
5,3,BAY,751,NORTH BAY HAVEN CHARTER ACADEMY ELE,88,74
5,3,BAY,2701,RISING LEADERS ACADEMY,11,82
5,3,BAY,7001,BAY VIRTUAL INSTRUCTION PROGRAM,2,-1
5,4,BRADFORD,51,STARKE ELEMENTARY SCHOOL,68,57
5,4,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,79,27
5,4,BRADFORD,131,LAWTEY ELEMENTARY SCHOOL,18,61
5,4,BRADFORD,161,BROOKER ELEMENTARY SCHOOL,10,70
5,4,BRADFORD,181,HAMPTON ELEMENTARY SCHOOL,19,68
5,4,BRADFORD,201,BRADFORD INTERVENTION CENTER,2,-1
5,5,BREVARD,51,OAK PARK ELEMENTARY SCHOOL,116,49
5,5,BREVARD,61,APOLLO ELEMENTARY SCHOOL,94,65
5,5,BREVARD,91,COQUINA ELEMENTARY SCHOOL,81,43
5,5,BREVARD,101,MIMS ELEMENTARY SCHOOL,72,39
5,5,BREVARD,151,IMPERIAL ESTATES ELEMENTARY SCHOOL,86,63
5,5,BREVARD,181,PINEWOOD ELEMENTARY SCHOOL,47,77
5,5,BREVARD,191,CHALLENGER 7 ELEMENTARY SCHOOL,69,72
5,5,BREVARD,201,ATLANTIS ELEMENTARY SCHOOL,84,65
5,5,BREVARD,301,ENTERPRISE ELEMENTARY SCHOOL,74,55
5,5,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL,3,-1
5,5,BREVARD,1032,HORACE MANN ACADEMY,2,-1
5,5,BREVARD,1041,CAMBRIDGE ELEMENTARY MAGNET SCHOOL,72,64
5,5,BREVARD,1051,ENDEAVOUR ELEMENTARY MAGNET,70,26
5,5,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCH,80,35
5,5,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,119,59
5,5,BREVARD,1131,SATURN ELEMENTARY SCHOOL,88,63
5,5,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMENTARY,117,73
5,5,BREVARD,1151,RALPH M WILLIAMS JUNIOR ELEMENTARY,75,71
5,5,BREVARD,1161,MANATEE ELEMENTARY,116,85
5,5,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMENTARY,210,58
5,5,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL FOR,87,93
5,5,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCHOOL,67,34
5,5,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,110,64
5,5,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,101,44
5,5,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,101,74
5,5,BREVARD,2121,JOHN F. TURNER SENIOR ELEMENTARY,102,35
5,5,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,65,46
5,5,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,86,43
5,5,BREVARD,2161,CHRISTA MCAULIFFE ELEMENTARY SCHOOL,81,67
5,5,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,66,67
5,5,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,111,40
5,5,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,110,75
5,5,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,108,70
5,5,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,70,57
5,5,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,49,43
5,5,BREVARD,3071,SABAL ELEMENTARY SCHOOL,80,51
5,5,BREVARD,3091,CROTON ELEMENTARY SCHOOL,88,57
5,5,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,86,59
5,5,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,85,76
5,5,BREVARD,3131,LONGLEAF ELEMENTARY SCHOOL,91,75
5,5,BREVARD,3151,QUEST ELEMENTARY SCHOOL,103,83
5,5,BREVARD,4031,MILA ELEMENTARY SCHOOL,63,46
5,5,BREVARD,4041,TROPICAL ELEMENTARY SCHOOL,91,81
5,5,BREVARD,4051,AUDUBON ELEMENTARY SCHOOL,90,67
5,5,BREVARD,4071,ROBERT L. STEVENSON ELEMENTARY,79,94
5,5,BREVARD,4121,LEWIS CARROLL ELEMENTARY SCHOOL,101,60
5,5,BREVARD,5012,THEODORE ROOSEVELT ELEMENTARY,60,75
5,5,BREVARD,5021,FREEDOM 7 ELEMENTARY SCHOOL INTERNA,63,97
5,5,BREVARD,5031,CAPE VIEW ELEMENTARY SCHOOL,36,50
5,5,BREVARD,6013,SPESSARD L. HOLLAND ELEMENTARY,47,77
5,5,BREVARD,6051,SEA PARK ELEMENTARY SCHOOL,37,59
5,5,BREVARD,6061,SURFSIDE ELEMENTARY SCHOOL,52,87
5,5,BREVARD,6071,OCEAN BREEZE ELEMENTARY SCHOOL,70,74
5,5,BREVARD,6081,INDIALANTIC ELEMENTARY SCHOOL,98,73
5,5,BREVARD,6101,GEMINI ELEMENTARY SCHOOL,83,77
5,5,BREVARD,6141,DR. W.J. CREEL ELEMENTARY SCHOOL,111,56
5,5,BREVARD,6501,PALM BAY ACADEMY CHARTER SCHOOL,47,62
5,5,BREVARD,6506,CAMPUS CHARTER SCHOOL,9,-1
5,5,BREVARD,6507,ODYSSEY CHARTER SCHOOL,84,44
5,5,BREVARD,6508,SCULPTOR CHARTER SCHOOL,69,61
5,5,BREVARD,6509,ROYAL PALM CHARTER SCHOOL,41,61
5,5,BREVARD,6511,EDUCATIONAL HORIZONS CHARTER,7,-1
5,5,BREVARD,6515,IMAGINE SCHOOLS AT WEST MELBOURNE,24,29
5,5,BREVARD,6523,EMMA JEWEL CHARTER ACADEMY,21,10
5,5,BREVARD,6540,VIERA CHARTER SCHOOL,86,79
5,5,BREVARD,6541,ODYESSY PREPARATORY CHARTER ACADEMY,22,32
5,5,BREVARD,7023,BREVARD VIRTUAL ESCHOOL,15,47
5,6,BROWARD,11,DEERFIELD BEACH ELEMENTARY SCHOOL,85,51
5,6,BROWARD,31,OAKLAND PARK ELEMENTARY SCHOOL,86,37
5,6,BROWARD,41,NORTH SIDE ELEMENTARY SCHOOL,59,41
5,6,BROWARD,101,DANIA ELEMENTARY SCHOOL,65,42
5,6,BROWARD,111,HOLLYWOOD HILLS ELEMENTARY SCHOOL,106,75
5,6,BROWARD,121,HOLLYWOOD CENTRAL ELEM. SCHOOL,77,42
5,6,BROWARD,131,HALLANDALE ELEMENTARY SCHOOL,163,40
5,6,BROWARD,151,RIVERLAND ELEMENTARY SCHOOL,115,37
5,6,BROWARD,161,WEST HOLLYWOOD ELEMENTARY SCHOOL,104,27
5,6,BROWARD,191,WILTON MANORS ELEMENTARY SCHOOL,83,34
5,6,BROWARD,201,BENNETT ELEMENTARY SCHOOL,56,45
5,6,BROWARD,221,CROISSANT PARK ELEMENTARY SCHOOL,101,48
5,6,BROWARD,231,COLBERT ELEMENTARY SCHOOL,82,28
5,6,BROWARD,271,DILLARD ELEMENTARY SCHOOL,117,26
5,6,BROWARD,321,WALKER ELEMENTARY SCHOOL (MAGNET),97,31
5,6,BROWARD,331,COLLINS ELEMENTARY SCHOOL,38,32
5,6,BROWARD,341,BETHUNE MARY M ELEMENTARY SCHOOL,59,41
5,6,BROWARD,391,DEERFIELD PARK ELEMENTARY SCHOOL,75,28
5,6,BROWARD,461,OAKRIDGE ELEMENTARY SCHOOL,85,44
5,6,BROWARD,491,HARBORDALE ELEMENTARY SCHOOL,68,54
5,6,BROWARD,501,BROWARD ESTATES ELEMENTARY SCHOOL,68,21
5,6,BROWARD,511,WATKINS ELEMENTARY SCHOOL,125,21
5,6,BROWARD,521,NORTH ANDREWS GARDENS ELEM.,123,59
5,6,BROWARD,531,MIRAMAR ELEMENTARY SCHOOL,124,34
5,6,BROWARD,561,NORCREST ELEMENTARY SCHOOL,106,50
5,6,BROWARD,571,TEDDER ELEMENTARY SCHOOL,106,26
5,6,BROWARD,621,LARKDALE ELEMENTARY SCHOOL,36,33
5,6,BROWARD,631,WESTWOOD HEIGHTS ELEMENTARY SCHOOL,76,17
5,6,BROWARD,641,BAYVIEW ELEMENTARY SCHOOL,93,83
5,6,BROWARD,653,PINE RIDGE ALTERNATIVE CENTER,3,-1
5,6,BROWARD,691,STIRLING ELEMENTARY SCHOOL,73,45
5,6,BROWARD,701,PARKWAY MIDDLE SCHOOL,29,100
5,6,BROWARD,711,ORANGE BROOK ELEMENTARY SCHOOL,139,32
5,6,BROWARD,721,DRIFTWOOD ELEMENTARY SCHOOL,95,25
5,6,BROWARD,731,TROPICAL ELEMENTARY SCHOOL,136,66
5,6,BROWARD,751,POMPANO BEACH ELEMENTARY SCHOOL,86,24
5,6,BROWARD,761,MEADOWBROOK ELEMENTARY SCHOOL,92,33
5,6,BROWARD,811,BROADVIEW ELEMENTARY SCHOOL,140,44
5,6,BROWARD,831,LAKE FOREST ELEMENTARY SCHOOL,118,25
5,6,BROWARD,841,MCNAB ELEMENTARY SCHOOL,102,47
5,6,BROWARD,851,FLORANADA ELEMENTARY SCHOOL,97,72
5,6,BROWARD,891,SANDERS PARK ELEMENTARY SCHOOL,60,30
5,6,BROWARD,901,CRESTHAVEN ELEMENTARY SCHOOL,77,40
5,6,BROWARD,921,STEPHEN FOSTER ELEMENTARY SCHOOL,93,46
5,6,BROWARD,931,PETERS ELEMENTARY SCHOOL,91,54
5,6,BROWARD,941,PLANTATION ELEMENTARY SCHOOL,90,18
5,6,BROWARD,971,BOULEVARD HEIGHTS ELEMENTARY,127,34
5,6,BROWARD,1091,LLOYD ESTATES ELEMENTARY SCHOOL,77,36
5,6,BROWARD,1131,PALMVIEW ELEMENTARY SCHOOL,94,29
5,6,BROWARD,1161,MARGATE ELEMENTARY SCHOOL,140,44
5,6,BROWARD,1171,SUNSHINE ELEMENTARY SCHOOL,109,47
5,6,BROWARD,1191,NORTH FORK ELEMENTARY SCHOOL,96,21
5,6,BROWARD,1211,COOPER CITY ELEMENTARY SCHOOL,141,54
5,6,BROWARD,1221,PEMBROKE PINES ELEMENTARY SCHOOL,106,46
5,6,BROWARD,1251,PLANTATION PARK ELEMENTARY,81,56
5,6,BROWARD,1271,NOVA DWIGHT D. EISENHOWER ELEM,127,72
5,6,BROWARD,1282,NOVA BLANCHE FORMAN ELEMENTARY,131,47
5,6,BROWARD,1321,SHERIDAN PARK ELEMENTARY SCHOOL,107,56
5,6,BROWARD,1381,LAUDERHILL PAUL TURNER ELEM.,94,31
5,6,BROWARD,1421,COCONUT CREEK ELEMENTARY SCHL,111,38
5,6,BROWARD,1461,CASTLE HILL ELEMENTARY SCHOOL,90,17
5,6,BROWARD,1611,MARTIN LUTHER KING ELEMENTARY,61,18
5,6,BROWARD,1621,VILLAGE ELEMENTARY SCHOOL,138,20
5,6,BROWARD,1631,ANNABEL C. PERRY ELEMENTARY,98,39
5,6,BROWARD,1641,FAIRWAY ELEMENTARY SCHOOL,119,31
5,6,BROWARD,1671,C. ROBERT MARKHAM ELEMENTARY,84,13
5,6,BROWARD,1752,WHISPERING PINES SCHOOL,14,7
5,6,BROWARD,1761,HOLLYWOOD PARK ELEMENTARY SCHOOL,72,33
5,6,BROWARD,1781,CYPRESS ELEMENTARY SCHOOL,114,25
5,6,BROWARD,1811,SHERIDAN HILLS ELEMENTARY SCHOOL,90,51
5,6,BROWARD,1831,ORIOLE ELEMENTARY SCHOOL,117,26
5,6,BROWARD,1841,MIRROR LAKE ELEMENTARY SCHOOL,54,41
5,6,BROWARD,1851,ROYAL PALM ELEMENTARY SCHOOL,153,25
5,6,BROWARD,1951,PARK RIDGE ELEMENTARY SCHOOL,65,25
5,6,BROWARD,1971,JAMES S. HUNT ELEMENTARY SCHOOL,137,25
5,6,BROWARD,2001,BANYAN ELEMENTARY SCHOOL,101,46
5,6,BROWARD,2011,CORAL COVE ELEMENTARY SCHOOL,127,65
5,6,BROWARD,2041,BEACHSIDE MONTESSORI VILLAGE,72,69
5,6,BROWARD,2071,PASADENA LAKES ELEMENTARY SCHOOL,78,38
5,6,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,7,-1
5,6,BROWARD,2231,NORTH LAUDERDALE ELEMENTARY,96,44
5,6,BROWARD,2511,ATLANTIC WEST ELEMENTARY SCHOOL,91,34
5,6,BROWARD,2531,HORIZON ELEMENTARY SCHOOL,100,44
5,6,BROWARD,2541,FLAMINGO ELEMENTARY SCHOOL,125,50
5,6,BROWARD,2551,CORAL SPRINGS ELEMENTARY SCHOOL,86,38
5,6,BROWARD,2621,TAMARAC ELEMENTARY SCHOOL,170,44
5,6,BROWARD,2631,FOREST HILLS ELEMENTARY SCHOOL,92,35
5,6,BROWARD,2641,CENTRAL PARK ELEMENTARY SCHOOL,172,64
5,6,BROWARD,2661,PEMBROKE LAKES ELEMENTARY SCHOOL,83,72
5,6,BROWARD,2671,NOB HILL ELEMENTARY SCHOOL,90,52
5,6,BROWARD,2681,WESTCHESTER ELEMENTARY SCHOOL,215,48
5,6,BROWARD,2691,MORROW ELEMENTARY SCHOOL,75,37
5,6,BROWARD,2721,RAMBLEWOOD ELEMENTARY SCHOOL,157,54
5,6,BROWARD,2741,MAPLEWOOD ELEMENTARY SCHOOL,125,51
5,6,BROWARD,2801,DAVIE ELEMENTARY SCHOOL,125,46
5,6,BROWARD,2811,PINEWOOD ELEMENTARY SCHOOL,100,27
5,6,BROWARD,2851,GRIFFIN ELEMENTARY SCHOOL,87,59
5,6,BROWARD,2861,PINES LAKES ELEMENTARY SCHOOL,98,26
5,6,BROWARD,2871,SEA CASTLE ELEMENTARY SCHOOL,108,42
5,6,BROWARD,2881,WELLEBY ELEMENTARY SCHOOL,118,40
5,6,BROWARD,2891,RIVERGLADES ELEMENTARY SCHOOL,103,71
5,6,BROWARD,2942,EVERGLADES ELEMENTARY SCHOOL,170,75
5,6,BROWARD,2961,CHAPEL TRAIL ELEMENTARY SCHOOL,144,73
5,6,BROWARD,2981,COUNTRY ISLES ELEMENTARY SCHOOL,172,63
5,6,BROWARD,3031,RIVERSIDE ELEMENTARY SCHOOL,128,52
5,6,BROWARD,3041,CORAL PARK ELEMENTARY SCHOOL,98,47
5,6,BROWARD,3061,SANDPIPER ELEMENTARY SCHOOL,100,47
5,6,BROWARD,3081,SILVER RIDGE ELEMENTARY SCHOOL,145,62
5,6,BROWARD,3091,WINSTON PARK ELEMENTARY SCHOOL,197,41
5,6,BROWARD,3111,COUNTRY HILLS ELEMENTARY SCHOOL,133,59
5,6,BROWARD,3121,QUIET WATERS ELEMENTARY SCHOOL,241,48
5,6,BROWARD,3131,HAWKES BLUFF ELEMENTARY SCHOOL,136,57
5,6,BROWARD,3171,PARK SPRINGS ELEMENTARY SCHOOL,164,59
5,6,BROWARD,3181,INDIAN TRACE ELEMENTARY SCHOOL,117,68
5,6,BROWARD,3191,EMBASSY CREEK ELEMENTARY SCHOOL,166,70
5,6,BROWARD,3221,CHARLES DREW ELEMENTARY SCHOOL,87,36
5,6,BROWARD,3222,CROSS CREEK SCHOOL,8,-1
5,6,BROWARD,3291,THURGOOD MARSHALL ELEM. SCHOOL,89,30
5,6,BROWARD,3311,PALM COVE ELEMENTARY SCHOOL,138,28
5,6,BROWARD,3321,VIRGINIA SHUMAN YOUNG ELEM,99,79
5,6,BROWARD,3371,SILVER LAKES ELEMENTARY SCHOOL,85,47
5,6,BROWARD,3401,SAWGRASS ELEMENTARY SCHOOL,120,68
5,6,BROWARD,3441,EAGLE RIDGE ELEMENTARY SCHOOL,144,57
5,6,BROWARD,3461,EAGLE POINT ELEMENTARY SCHOOL,194,74
5,6,BROWARD,3481,TRADEWINDS ELEMENTARY SCHOOL,149,58
5,6,BROWARD,3491,SILVER PALMS ELEMENTARY SCHOOL,125,58
5,6,BROWARD,3531,FOX TRAIL ELEMENTARY SCHOOL,208,68
5,6,BROWARD,3571,PANTHER RUN ELEMENTARY SCHOOL,94,61
5,6,BROWARD,3581,SILVER SHORES ELEMENTARY SCHOOL,90,59
5,6,BROWARD,3591,LAKESIDE ELEMENTARY SCHOOL,136,54
5,6,BROWARD,3631,PARKSIDE ELEMENTARY SCHOOL,129,56
5,6,BROWARD,3642,GATOR RUN ELEMENTARY SCHOOL,202,70
5,6,BROWARD,3661,SUNSET LAKES ELEMENTARY SCHOOL,121,71
5,6,BROWARD,3701,ROCK ISLAND ELEMENTARY SCHOOL,86,8
5,6,BROWARD,3741,COCONUT PALM ELEMENTARY SCHOOL,118,53
5,6,BROWARD,3751,DOLPHIN BAY ELEMENTARY SCHOOL,127,63
5,6,BROWARD,3761,PARK LAKES ELEMENTARY SCHOOL,172,42
5,6,BROWARD,3771,CHALLENGER ELEMENTARY SCHOOL,146,46
5,6,BROWARD,3781,PARK TRAILS ELEMENTARY SCHOOL,160,68
5,6,BROWARD,3821,LIBERTY ELEMENTARY SCHOOL,148,39
5,6,BROWARD,3841,MANATEE BAY ELEMENTARY SCHOOL,233,73
5,6,BROWARD,3961,HERON HEIGHTS ELEMENTARY SCHOOL,177,71
5,6,BROWARD,3962,DISCOVERY ELEMENTARY SCHOOL,159,43
5,6,BROWARD,5003,SOMERSET PREP ACADEMY AT N LAUDERDA,68,19
5,6,BROWARD,5004,SOMERSET VILLAGE ACADEMY,38,45
5,6,BROWARD,5012,FRANKLIN ACADEMY A,137,74
5,6,BROWARD,5020,RENAISSANCE CHARTER SCHOOL OF CORAL,139,65
5,6,BROWARD,5021,SOMERSET NEIGHBORHOOD SCHOOL,74,57
5,6,BROWARD,5023,RENAISSANCE CHARTER SCHOOL OF PLANT,73,52
5,6,BROWARD,5026,CHARTER SCHL OF EXCELLENCE DAVIE 2,4,-1
5,6,BROWARD,5030,SOMERSET PINES ACADEMY,49,35
5,6,BROWARD,5031,CHARTER SCHOOL OF EXCELLENCE,42,21
5,6,BROWARD,5037,FRANKLIN ACADEMY E,151,65
5,6,BROWARD,5041,CENTRAL CHARTER SCHOOL,104,31
5,6,BROWARD,5044,IMAGINE SCHOOL SOUTH CAMPUS,43,72
5,6,BROWARD,5048,RENAISSANCE CHARTER SCHOOL AT UNIVE,116,63
5,6,BROWARD,5049,RENAISSANCE CHARTER SCHOOL AT COOPE,138,75
5,6,BROWARD,5051,CITY OF PEMBROKE PINES CHARTER,326,77
5,6,BROWARD,5055,BROWARD CHARTER SCHOOL OF SCIENCE A,19,16
5,6,BROWARD,5059,FL VIRTUAL ACAD AT BROWARD COUNTY,6,-1
5,6,BROWARD,5111,IMAGINE CHARTER SCHOOL AT WESTON,135,87
5,6,BROWARD,5141,SOMERSET ACADEMY,179,69
5,6,BROWARD,5161,NORTH BROWARD ACADEMY OF EXCEL,112,40
5,6,BROWARD,5171,IMAGINE CHARTER/N LAUDERDALE,67,39
5,6,BROWARD,5201,CHARTER SCHOOL OF EXCELLENCE TAMARA,26,50
5,6,BROWARD,5211,SOMERSET ACADEMY DAVIE CHARTER,19,53
5,6,BROWARD,5271,CHARTER SCHL OF EXCELLENCE AT DAVIE,23,52
5,6,BROWARD,5291,CHARTER SCHL OF EXCELLENCE TAMARAC2,26,50
5,6,BROWARD,5315,BROWARD COMMUNITY CHARTER SCHOOL,17,12
5,6,BROWARD,5325,HOLLYWOOD ACADEMY OF ARTS & SCIENCE,145,64
5,6,BROWARD,5355,EAGLES NEST ELEMENTARY CHARTER SCHO,16,38
5,6,BROWARD,5361,FLORIDA INTERCULTURAL ACADEMY,46,50
5,6,BROWARD,5372,PATHWAYS ACADEMY K-8 CENTER,16,25
5,6,BROWARD,5387,SOMERSET ACADEMY HOLLYWOOD,6,-1
5,6,BROWARD,5388,SOMERSET ACADEMY POMPANO (K-5),14,14
5,6,BROWARD,5389,RISE ACADEMY II,23,22
5,6,BROWARD,5391,SOMERSET ACADEMY EAST PREPARATORY,36,86
5,6,BROWARD,5392,BEN GAMLA CHARTER SCHOOL SOUTH BROW,37,41
5,6,BROWARD,5393,EXCELSIOR CHARTER OF BROWARD,24,38
5,6,BROWARD,5400,SUNSHINE ELEMENTARY CHARTER SCHOOL,44,14
5,6,BROWARD,5403,BROWARD COMMUNITY CHARTER WEST,36,56
5,6,BROWARD,5405,SOMERSET ACADEMY ELEMENTARY MIRAMAR,140,71
5,6,BROWARD,5409,KIDZ CHOICE CHARTER SCHOOL,10,20
5,6,BROWARD,5410,BEN GAMLA CHARTER SCHOOL,70,79
5,6,BROWARD,5415,IMAGINE CHARTER SCHOOL OF BROWARD,105,59
5,6,BROWARD,5418,HENRY MCNEAL TURNER LEARNING ACADEM,9,-1
5,6,BROWARD,5420,RISE ACADEMY SCHOOL OF SCIENCE AND,32,53
5,6,BROWARD,5421,ALPHA INTERNATIONAL ACADEMY,3,-1
5,6,BROWARD,5422,FLORIDA INTERCULTURAL ACADEMY K-8 W,44,34
5,6,BROWARD,5431,THE OBAMA ACADEMY FOR BOYS,1,-1
5,6,BROWARD,5434,THE RED SHOE CHARTER SCHOOL FOR GIR,6,-1
5,6,BROWARD,7001,BROWARD VIRTUAL INSTRUCTION PROGRAM,9,-1
5,7,CALHOUN,91,CARR ELEMENTARY MIDDLE SCHOOL,26,65
5,7,CALHOUN,101,ALTHA PUBLIC SCHOOL,45,69
5,7,CALHOUN,131,BLOUNTSTOWN ELEMENTARY SCHOOL,83,57
5,7,CALHOUN,7001,CALHOUN VIRTUAL INSTRUCTION PROGRAM,2,-1
5,8,CHARLOTTE,21,SALLIE JONES ELEMENTARY SCHOOL,99,48
5,8,CHARLOTTE,41,PEACE RIVER ELEMENTARY SCHOOL,96,45
5,8,CHARLOTTE,42,CHARLOTTE HARBOR SCHOOL,3,-1
5,8,CHARLOTTE,81,EAST ELEMENTARY SCHOOL,111,65
5,8,CHARLOTTE,111,NEIL ARMSTRONG ELEMENTARY SCHOOL,129,41
5,8,CHARLOTTE,141,MEADOW PARK ELEMENTARY SCHOOL,135,53
5,8,CHARLOTTE,191,VINELAND ELEMENTARY SCHOOL,97,78
5,8,CHARLOTTE,201,LIBERTY ELEMENTARY SCHOOL,104,47
5,8,CHARLOTTE,231,MYAKKA RIVER ELEMENTARY SCHOOL,69,65
5,8,CHARLOTTE,251,DEEP CREEK ELEMENTARY SCHOOL,110,46
5,8,CHARLOTTE,301,KINGSWAY ELEMENTARY SCHOOL,97,53
5,9,CITRUS,21,PLEASANT GROVE ELEMENTARY SCHOOL,100,76
5,9,CITRUS,25,FOREST RIDGE ELEMENTARY SCHOOL,123,60
5,9,CITRUS,32,INVERNESS PRIMARY SCHOOL,114,55
5,9,CITRUS,35,CENTRAL RIDGE ELEMENTARY SCHOOL,113,66
5,9,CITRUS,61,FLORAL CITY ELEMENTARY SCHOOL,41,41
5,9,CITRUS,71,HOMOSASSA ELEMENTARY SCHOOL,48,79
5,9,CITRUS,102,CRYSTAL RIVER PRIMARY SCHOOL,88,48
5,9,CITRUS,161,LECANTO PRIMARY SCHOOL,120,44
5,9,CITRUS,171,HERNANDO ELEMENTARY SCHOOL,105,50
5,9,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,107,52
5,9,CITRUS,191,ROCK CRUSHER ELEMENTARY SCHOOL,91,56
5,9,CITRUS,201,CREST SCHOOL,1,-1
5,10,CLAY,71,CHARLES E. BENNETT ELEMENTARY SCHOO,92,53
